setting:	(prec, auc)
crop_nonloc_13_cv.TM_CCORR_NORMED:	(0.8, 2.9429500000000006)
crop_nonloc_7_cv.TM_CCORR_NORMED:	(0.8, 2.9428500000000004)
crop_eq_opening_5_cv.TM_CCORR_NORMED:	(0.8, 2.9421500000000003)
crop_eq_nonloc_17_cv.TM_SQDIFF_NORMED:	(0.8, 2.9129166666666673)
crop_opening_nonloc_17_cv.TM_SQDIFF_NORMED:	(0.8, 2.9119)
crop_eq_opening_3_cv.TM_SQDIFF_NORMED:	(0.8, 2.9095500000000003)
crop_eq_opening_nonloc_3_cv.TM_SQDIFF_NORMED:	(0.8, 2.909516666666667)
crop_eq_opening_nonloc_13_cv.TM_SQDIFF_NORMED:	(0.8, 2.8700000000000006)
crop_eq_opening_nonloc_19_cv.TM_SQDIFF_NORMED:	(0.8, 2.857100000000001)
crop_eq_opening_17_cv.TM_SQDIFF:	(0.8, 2.8323166666666673)
crop_eq_opening_9_cv.TM_CCOEFF_NORMED:	(0.8, 2.8051500000000007)
crop_opening_nonloc_11_cv.TM_CCOEFF_NORMED:	(0.8, 2.788983333333334)
crop_eq_opening_15_cv.TM_SQDIFF:	(0.8, 2.787750000000001)
crop_eq_opening_11_cv.TM_SQDIFF:	(0.8, 2.7725833333333343)
crop_eq_opening_nonloc_11_cv.TM_CCOEFF_NORMED:	(0.8, 2.7527500000000007)
crop_eq_nonloc_7_cv.TM_CCOEFF_NORMED:	(0.8, 2.750683333333334)
crop_eq_nonloc_9_cv.TM_CCOEFF_NORMED:	(0.8, 2.7368166666666673)
crop_eq_nonloc_11_cv.TM_CCOEFF_NORMED:	(0.8, 2.7334166666666673)
crop_eq_opening_nonloc_9_cv.TM_CCOEFF_NORMED:	(0.8, 2.730716666666667)
crop_eq_opening_nonloc_13_cv.TM_SQDIFF:	(0.8, 2.725966666666667)
crop_eq_opening_5_cv.TM_CCOEFF_NORMED:	(0.8, 2.719483333333334)
crop_eq_nonloc_13_cv.TM_CCOEFF_NORMED:	(0.8, 2.7194500000000006)
crop_eq_opening_nonloc_11_cv.TM_SQDIFF:	(0.8, 2.7076666666666673)
crop_eq_opening_3_cv.TM_CCOEFF_NORMED:	(0.8, 2.7024500000000002)
crop_eq_opening_nonloc_5_cv.TM_CCOEFF_NORMED:	(0.8, 2.701950000000001)
crop_eq_opening_nonloc_3_cv.TM_CCOEFF_NORMED:	(0.8, 2.7004500000000005)
crop_eq_nonloc_19_cv.TM_SQDIFF:	(0.8, 2.6850500000000004)
